LAST SEEN   TYPE      REASON                         OBJECT                                                       MESSAGE
38m         Normal    ScalingReplicaSet              deployment/life-assistant-fulfillment-service                Scaled down replica set life-assistant-fulfillment-service-668f695c79 from 1 to 0
38m         Normal    Killing                        pod/life-assistant-fulfillment-service-668f695c79-qclrq      Stopping container fulfillment-service
38m         Warning   Unhealthy                      pod/life-assistant-engagement-service-646486db9c-79swk       Liveness probe failed: Get "http://10.42.0.180:8086/api/health": dial tcp 10.42.0.180:8086: connect: connection refused
38m         Warning   Unhealthy                      pod/life-assistant-engagement-service-646486db9c-79swk       Readiness probe failed: Get "http://10.42.0.180:8086/api/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
38m         Warning   Unhealthy                      pod/life-assistant-merchant-service-7bdbcdb897-psfpf         Readiness probe failed: Get "http://10.42.0.166:8081/api/health": dial tcp 10.42.0.166:8081: connect: connection refused
38m         Normal    SuccessfulDelete               replicaset/life-assistant-engagement-service-5776bf4bdb      Deleted pod: life-assistant-engagement-service-5776bf4bdb-x2w6j
38m         Normal    ScalingReplicaSet              deployment/life-assistant-engagement-service                 Scaled down replica set life-assistant-engagement-service-5776bf4bdb from 1 to 0
38m         Normal    Killing                        pod/life-assistant-engagement-service-5776bf4bdb-x2w6j       Stopping container engagement-service
38m         Normal    ScalingReplicaSet              deployment/life-assistant-api-gateway                        Scaled up replica set life-assistant-api-gateway-789b5d7b79 from 0 to 1
38m         Normal    SuccessfulCreate               replicaset/life-assistant-api-gateway-789b5d7b79             Created pod: life-assistant-api-gateway-789b5d7b79-596lw
38m         Normal    Pulling                        pod/life-assistant-api-gateway-789b5d7b79-596lw              Pulling image "crpi-c1t50gwiyvjmmjw6-vpc.cn-heyuan.personal.cr.aliyuncs.com/buaa_summer/life-service-assistant:api-gateway-84e49096562b5713112782a46fcb4070c6f4c50a"
37m         Warning   Unhealthy                      pod/life-assistant-settlement-service-d5f5b78bf-ldvt6        Readiness probe failed: Get "http://10.42.0.169:8084/api/health": dial tcp 10.42.0.169:8084: connect: connection refused
37m         Warning   Unhealthy                      pod/life-assistant-user-service-5477798fb8-tfzhp             Readiness probe failed: Get "http://10.42.0.167:8082/api/health": dial tcp 10.42.0.167:8082: connect: connection refused
37m         Normal    Created                        pod/life-assistant-api-gateway-789b5d7b79-596lw              Container created
37m         Normal    Pulled                         pod/life-assistant-api-gateway-789b5d7b79-596lw              Successfully pulled image "crpi-c1t50gwiyvjmmjw6-vpc.cn-heyuan.personal.cr.aliyuncs.com/buaa_summer/life-service-assistant:api-gateway-84e49096562b5713112782a46fcb4070c6f4c50a" in 5.908s (5.908s including waiting). Image size: 155902609 bytes.
37m         Normal    Started                        pod/life-assistant-api-gateway-789b5d7b79-596lw              Container started
37m         Warning   Unhealthy                      pod/life-assistant-order-service-579c4f59c-r7ncp             Readiness probe failed: Get "http://10.42.0.168:8083/api/health": dial tcp 10.42.0.168:8083: connect: connection refused
37m         Normal    SuccessfulCreate               replicaset/life-assistant-settlement-service-6bcc59466d      Created pod: life-assistant-settlement-service-6bcc59466d-zc9wf
37m         Normal    Started                        pod/life-assistant-settlement-service-6bcc59466d-zc9wf       Container started
37m         Normal    SuccessfulRescale              horizontalpodautoscaler/life-assistant-settlement-service    New size: 2; reason: cpu resource utilization (percentage of request) above target
37m         Normal    Created                        pod/life-assistant-settlement-service-6bcc59466d-zc9wf       Container created
37m         Normal    Pulled                         pod/life-assistant-settlement-service-6bcc59466d-zc9wf       Container image "crpi-c1t50gwiyvjmmjw6-vpc.cn-heyuan.personal.cr.aliyuncs.com/buaa_summer/life-service-assistant:settlement-service-84e49096562b5713112782a46fcb4070c6f4c50a" already present on machine and can be accessed by the pod
37m         Normal    ScalingReplicaSet              deployment/life-assistant-settlement-service                 Scaled up replica set life-assistant-settlement-service-6bcc59466d from 1 to 2
37m         Warning   Unhealthy                      pod/life-assistant-fulfillment-service-668f695c79-qclrq      Readiness probe failed: Get "http://10.42.0.170:8085/api/health": dial tcp 10.42.0.170:8085: connect: connection refused
37m         Warning   Unhealthy                      pod/life-assistant-engagement-service-5776bf4bdb-x2w6j       Readiness probe failed: Get "http://10.42.0.171:8086/api/health": dial tcp 10.42.0.171:8086: connect: connection refused
37m         Normal    ScalingReplicaSet              deployment/life-assistant-api-gateway                        Scaled down replica set life-assistant-api-gateway-6bfbbccb5b from 1 to 0
37m         Normal    SuccessfulDelete               replicaset/life-assistant-api-gateway-6bfbbccb5b             Deleted pod: life-assistant-api-gateway-6bfbbccb5b-lg987
37m         Normal    Killing                        pod/life-assistant-api-gateway-6bfbbccb5b-lg987              Stopping container api-gateway
37m         Normal    ScalingReplicaSet              deployment/life-assistant-frontend                           Scaled up replica set life-assistant-frontend-bbbc79df6 from 0 to 1
37m         Normal    SuccessfulCreate               replicaset/life-assistant-frontend-bbbc79df6                 Created pod: life-assistant-frontend-bbbc79df6-wlwfq
37m         Normal    Pulling                        pod/life-assistant-frontend-bbbc79df6-wlwfq                  Pulling image "crpi-c1t50gwiyvjmmjw6-vpc.cn-heyuan.personal.cr.aliyuncs.com/buaa_summer/life-service-assistant:frontend-84e49096562b5713112782a46fcb4070c6f4c50a"
37m         Normal    Created                        pod/life-assistant-frontend-bbbc79df6-wlwfq                  Container created
37m         Normal    Pulled                         pod/life-assistant-frontend-bbbc79df6-wlwfq                  Successfully pulled image "crpi-c1t50gwiyvjmmjw6-vpc.cn-heyuan.personal.cr.aliyuncs.com/buaa_summer/life-service-assistant:frontend-84e49096562b5713112782a46fcb4070c6f4c50a" in 998ms (998ms including waiting). Image size: 21076042 bytes.
37m         Normal    Started                        pod/life-assistant-frontend-bbbc79df6-wlwfq                  Container started
36m         Warning   Unhealthy                      pod/life-assistant-api-gateway-6bfbbccb5b-lg987              Readiness probe failed: HTTP probe failed with statuscode: 503
36m         Normal    ScalingReplicaSet              deployment/life-assistant-frontend                           Scaled down replica set life-assistant-frontend-7c9f47d8d7 from 1 to 0
36m         Normal    Killing                        pod/life-assistant-frontend-7c9f47d8d7-d8ggb                 Stopping container frontend
36m         Normal    SuccessfulDelete               replicaset/life-assistant-frontend-7c9f47d8d7                Deleted pod: life-assistant-frontend-7c9f47d8d7-d8ggb
36m         Warning   Unhealthy                      pod/life-assistant-settlement-service-6bcc59466d-zc9wf       Liveness probe failed: Get "http://10.42.0.182:8084/api/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
36m         Warning   Unhealthy                      pod/life-assistant-settlement-service-6bcc59466d-zc9wf       Readiness probe failed: Get "http://10.42.0.182:8084/api/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
34m         Normal    ScalingReplicaSet              deployment/life-assistant-merchant-service                   Scaled up replica set life-assistant-merchant-service-97c5d8c95 from 1 to 2
34m         Normal    SuccessfulRescale              horizontalpodautoscaler/life-assistant-merchant-service      New size: 2; reason: cpu resource utilization (percentage of request) above target
