LAST SEEN   TYPE      REASON                         OBJECT                                                       MESSAGE
39m         Warning   Unhealthy                      pod/life-assistant-merchant-service-5bd7fc6fc8-59cjl         Readiness probe failed: Get "http://10.42.0.194:8081/api/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
39m         Warning   Unhealthy                      pod/life-assistant-engagement-service-7f4d97d587-dvkn7       Liveness probe failed: Get "http://10.42.0.193:8086/api/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
36m         Normal    ScalingReplicaSet              deployment/life-assistant-order-service                      Scaled down replica set life-assistant-order-service-6b84595445 from 3 to 2
36m         Normal    SuccessfulRescale              horizontalpodautoscaler/life-assistant-order-service         New size: 2; reason: All metrics below target
36m         Normal    Killing                        pod/life-assistant-order-service-6b84595445-wcqs9            Stopping container order-service
36m         Normal    SuccessfulDelete               replicaset/life-assistant-order-service-6b84595445           Deleted pod: life-assistant-order-service-6b84595445-wcqs9
35m         Normal    ScalingReplicaSet              deployment/life-assistant-engagement-service                 Scaled down replica set life-assistant-engagement-service-7f4d97d587 from 2 to 1
35m         Normal    SuccessfulRescale              horizontalpodautoscaler/life-assistant-engagement-service    New size: 1; reason: All metrics below target
35m         Normal    SuccessfulDelete               replicaset/life-assistant-engagement-service-7f4d97d587      Deleted pod: life-assistant-engagement-service-7f4d97d587-dvkn7
35m         Normal    Killing                        pod/life-assistant-engagement-service-7f4d97d587-dvkn7       Stopping container engagement-service
35m         Warning   Unhealthy                      pod/life-assistant-order-service-6b84595445-wcqs9            Readiness probe failed: Get "http://10.42.0.192:8083/api/health": dial tcp 10.42.0.192:8083: connect: connection refused
35m         Warning   Unhealthy                      pod/life-assistant-engagement-service-7f4d97d587-dvkn7       Readiness probe failed: Get "http://10.42.0.193:8086/api/health": dial tcp 10.42.0.193:8086: connect: connection refused
34m         Normal    SuccessfulDelete               replicaset/life-assistant-fulfillment-service-6899c79c8      Deleted pod: life-assistant-fulfillment-service-6899c79c8-9sq8d
34m         Normal    ScalingReplicaSet              deployment/life-assistant-fulfillment-service                Scaled down replica set life-assistant-fulfillment-service-6899c79c8 from 2 to 1
34m         Normal    SuccessfulRescale              horizontalpodautoscaler/life-assistant-fulfillment-service   New size: 1; reason: All metrics below target
34m         Normal    Killing                        pod/life-assistant-fulfillment-service-6899c79c8-9sq8d       Stopping container fulfillment-service
34m         Normal    SuccessfulDelete               replicaset/life-assistant-merchant-service-5bd7fc6fc8        Deleted pod: life-assistant-merchant-service-5bd7fc6fc8-zx484
34m         Normal    ScalingReplicaSet              deployment/life-assistant-merchant-service                   Scaled down replica set life-assistant-merchant-service-5bd7fc6fc8 from 3 to 2
34m         Normal    SuccessfulRescale              horizontalpodautoscaler/life-assistant-merchant-service      New size: 2; reason: All metrics below target
34m         Normal    Killing                        pod/life-assistant-merchant-service-5bd7fc6fc8-zx484         Stopping container merchant-service
34m         Warning   Unhealthy                      pod/life-assistant-fulfillment-service-6899c79c8-9sq8d       Readiness probe failed: Get "http://10.42.0.191:8085/api/health": dial tcp 10.42.0.191:8085: connect: connection refused
34m         Warning   Unhealthy                      pod/life-assistant-merchant-service-5bd7fc6fc8-zx484         Readiness probe failed: Get "http://10.42.0.190:8081/api/health": dial tcp 10.42.0.190:8081: connect: connection refused
32m         Normal    SuccessfulDelete               replicaset/life-assistant-user-service-798dd7779f            Deleted pod: life-assistant-user-service-798dd7779f-s5b6l
32m         Normal    ScalingReplicaSet              deployment/life-assistant-user-service                       Scaled down replica set life-assistant-user-service-798dd7779f from 2 to 1
32m         Normal    Killing                        pod/life-assistant-user-service-798dd7779f-s5b6l             Stopping container user-service
32m         Normal    SuccessfulRescale              horizontalpodautoscaler/life-assistant-user-service          New size: 1; reason: All metrics below target
32m         Warning   Unhealthy                      pod/life-assistant-user-service-798dd7779f-s5b6l             Readiness probe failed: Get "http://10.42.0.188:8082/api/health": dial tcp 10.42.0.188:8082: connect: connection refused
29m         Normal    ScalingReplicaSet              deployment/life-assistant-order-service                      Scaled down replica set life-assistant-order-service-6b84595445 from 2 to 1
29m         Normal    Killing                        pod/life-assistant-order-service-6b84595445-g7vqt            Stopping container order-service
29m         Normal    SuccessfulRescale              horizontalpodautoscaler/life-assistant-order-service         New size: 1; reason: All metrics below target
29m         Normal    SuccessfulDelete               replicaset/life-assistant-order-service-6b84595445           Deleted pod: life-assistant-order-service-6b84595445-g7vqt
28m         Warning   Unhealthy                      pod/life-assistant-order-service-6b84595445-g7vqt            Readiness probe failed: Get "http://10.42.0.189:8083/api/health": dial tcp 10.42.0.189:8083: connect: connection refused
28m         Normal    ScalingReplicaSet              deployment/life-assistant-merchant-service                   Scaled up replica set life-assistant-merchant-service-5bd7fc6fc8 from 2 to 3
28m         Normal    SuccessfulRescale              horizontalpodautoscaler/life-assistant-merchant-service      New size: 3; reason: cpu resource utilization (percentage of request) above target
28m         Normal    SuccessfulCreate               replicaset/life-assistant-merchant-service-5bd7fc6fc8        Created pod: life-assistant-merchant-service-5bd7fc6fc8-cnh4w
28m         Normal    Started                        pod/life-assistant-merchant-service-5bd7fc6fc8-cnh4w         Container started
