LAST SEEN   TYPE      REASON                         OBJECT                                                       MESSAGE
18m         Warning   Unhealthy                      pod/life-assistant-merchant-service-5bd7fc6fc8-cnh4w         Readiness probe failed: Get "http://10.42.0.195:8081/api/health": dial tcp 10.42.0.195:8081: connect: connection refused
18m         Warning   Unhealthy                      pod/life-assistant-merchant-service-5bd7fc6fc8-c8hjz         Readiness probe failed: Get "http://10.42.0.174:8081/api/health": dial tcp 10.42.0.174:8081: connect: connection refused
17m         Warning   Unhealthy                      pod/life-assistant-merchant-service-c864547b8-vdbst          Liveness probe failed: Get "http://10.42.0.196:8081/api/health": dial tcp 10.42.0.196:8081: connect: connection refused
17m         Warning   Unhealthy                      pod/life-assistant-merchant-service-c864547b8-vdbst          Readiness probe failed: Get "http://10.42.0.196:8081/api/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
17m         Normal    Killing                        pod/life-assistant-user-service-798dd7779f-q5jcg             Stopping container user-service
17m         Normal    ScalingReplicaSet              deployment/life-assistant-user-service                       Scaled up replica set life-assistant-user-service-5c79b6c75c from 0 to 1
17m         Normal    SuccessfulCreate               replicaset/life-assistant-user-service-5c79b6c75c            Created pod: life-assistant-user-service-5c79b6c75c-wzrr8
17m         Normal    SuccessfulDelete               replicaset/life-assistant-user-service-798dd7779f            Deleted pod: life-assistant-user-service-798dd7779f-q5jcg
17m         Normal    ScalingReplicaSet              deployment/life-assistant-user-service                       Scaled down replica set life-assistant-user-service-798dd7779f from 1 to 0
17m         Normal    Pulling                        pod/life-assistant-user-service-5c79b6c75c-wzrr8             Pulling image "crpi-c1t50gwiyvjmmjw6-vpc.cn-heyuan.personal.cr.aliyuncs.com/buaa_summer/life-service-assistant:user-service-50d3346ee281e2de2ed57bfe9139fe8feb72b1c4"
17m         Normal    Started                        pod/life-assistant-user-service-5c79b6c75c-wzrr8             Container started
17m         Normal    Created                        pod/life-assistant-user-service-5c79b6c75c-wzrr8             Container created
17m         Normal    Pulled                         pod/life-assistant-user-service-5c79b6c75c-wzrr8             Successfully pulled image "crpi-c1t50gwiyvjmmjw6-vpc.cn-heyuan.personal.cr.aliyuncs.com/buaa_summer/life-service-assistant:user-service-50d3346ee281e2de2ed57bfe9139fe8feb72b1c4" in 8.269s (8.269s including waiting). Image size: 180052710 bytes.
17m         Warning   Unhealthy                      pod/life-assistant-user-service-798dd7779f-q5jcg             Readiness probe failed: Get "http://10.42.0.175:8082/api/health": dial tcp 10.42.0.175:8082: connect: connection refused
16m         Warning   Unhealthy                      pod/life-assistant-user-service-5c79b6c75c-wzrr8             Liveness probe failed: Get "http://10.42.0.197:8082/api/health": dial tcp 10.42.0.197:8082: connect: connection refused
16m         Warning   Unhealthy                      pod/life-assistant-frontend-69567b8ddc-xb42j                 Readiness probe failed: wget: server returned error: HTTP/1.1 503 Service Unavailable
16m         Warning   Unhealthy                      pod/life-assistant-user-service-5c79b6c75c-wzrr8             Readiness probe failed: Get "http://10.42.0.197:8082/api/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
16m         Normal    ScalingReplicaSet              deployment/life-assistant-order-service                      Scaled up replica set life-assistant-order-service-5c75679647 from 0 to 1
16m         Normal    Killing                        pod/life-assistant-order-service-6b84595445-mnb58            Stopping container order-service
16m         Normal    ScalingReplicaSet              deployment/life-assistant-order-service                      Scaled down replica set life-assistant-order-service-6b84595445 from 1 to 0
16m         Warning   Unhealthy                      pod/life-assistant-frontend-69567b8ddc-xb42j                 Readiness probe failed: command timed out: "sh -c wget -q -O - http://127.0.0.1/api/health | grep -q '\"code\":200'" timed out after 3s
16m         Normal    SuccessfulDelete               replicaset/life-assistant-order-service-6b84595445           Deleted pod: life-assistant-order-service-6b84595445-mnb58
16m         Normal    SuccessfulCreate               replicaset/life-assistant-order-service-5c75679647           Created pod: life-assistant-order-service-5c75679647-mngdh
16m         Normal    Pulling                        pod/life-assistant-order-service-5c75679647-mngdh            Pulling image "crpi-c1t50gwiyvjmmjw6-vpc.cn-heyuan.personal.cr.aliyuncs.com/buaa_summer/life-service-assistant:order-service-50d3346ee281e2de2ed57bfe9139fe8feb72b1c4"
16m         Normal    Created                        pod/life-assistant-order-service-5c75679647-mngdh            Container created
16m         Normal    Started                        pod/life-assistant-order-service-5c75679647-mngdh            Container started
16m         Normal    Pulled                         pod/life-assistant-order-service-5c75679647-mngdh            Successfully pulled image "crpi-c1t50gwiyvjmmjw6-vpc.cn-heyuan.personal.cr.aliyuncs.com/buaa_summer/life-service-assistant:order-service-50d3346ee281e2de2ed57bfe9139fe8feb72b1c4" in 7.809s (7.809s including waiting). Image size: 179899981 bytes.
15m         Warning   Unhealthy                      pod/life-assistant-order-service-6b84595445-mnb58            Readiness probe failed: Get "http://10.42.0.176:8083/api/health": dial tcp 10.42.0.176:8083: connect: connection refused
15m         Warning   Unhealthy                      pod/life-assistant-order-service-5c75679647-mngdh            Liveness probe failed: Get "http://10.42.0.198:8083/api/health": dial tcp 10.42.0.198:8083: connect: connection refused
15m         Warning   Unhealthy                      pod/life-assistant-order-service-5c75679647-mngdh            Readiness probe failed: Get "http://10.42.0.198:8083/api/health": dial tcp 10.42.0.198:8083: connect: connection refused
14m         Warning   Unhealthy                      pod/life-assistant-order-service-5c75679647-mngdh            Readiness probe failed: Get "http://10.42.0.198:8083/api/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
14m         Warning   Unhealthy                      pod/life-assistant-order-service-5c75679647-mngdh            Liveness probe failed: Get "http://10.42.0.198:8083/api/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
14m         Normal    ScalingReplicaSet              deployment/life-assistant-settlement-service                 Scaled down replica set life-assistant-settlement-service-775bdb5dc8 from 1 to 0
14m         Normal    Killing                        pod/life-assistant-settlement-service-775bdb5dc8-4vk92       Stopping container settlement-service
14m         Normal    SuccessfulCreate               replicaset/life-assistant-settlement-service-85968c8f84      Created pod: life-assistant-settlement-service-85968c8f84-phmj4
14m         Normal    SuccessfulDelete               replicaset/life-assistant-settlement-service-775bdb5dc8      Deleted pod: life-assistant-settlement-service-775bdb5dc8-4vk92
14m         Normal    ScalingReplicaSet              deployment/life-assistant-settlement-service                 Scaled up replica set life-assistant-settlement-service-85968c8f84 from 0 to 1
14m         Normal    Pulling                        pod/life-assistant-settlement-service-85968c8f84-phmj4       Pulling image "crpi-c1t50gwiyvjmmjw6-vpc.cn-heyuan.personal.cr.aliyuncs.com/buaa_summer/life-service-assistant:settlement-service-50d3346ee281e2de2ed57bfe9139fe8feb72b1c4"
