timestamp,pod,cpu,memory
2026-09-01T10:34:14+08:00,life-assistant-redis-c4fcbf6c-r8mhj,9m,14Mi
2026-09-01T10:34:14+08:00,life-assistant-settlement-service-6485f7b9bb-wwdxd,6m,265Mi
2026-09-01T10:34:14+08:00,life-assistant-user-service-d9d686b55-p49lg,4m,282Mi
2026-09-01T10:34:32+08:00,life-assistant-api-gateway-68b5c996df-nljj5,4m,224Mi
2026-09-01T10:34:32+08:00,life-assistant-engagement-service-95c6b48f5-rqzdj,5m,284Mi
2026-09-01T10:34:32+08:00,life-assistant-frontend-fc48fc794-wmck7,1m,4Mi
2026-09-01T10:34:32+08:00,life-assistant-fulfillment-service-7d8b56595d-z9slz,4m,283Mi
2026-09-01T10:34:32+08:00,life-assistant-merchant-service-55f5f7c468-4t6l5,4m,287Mi
2026-09-01T10:34:32+08:00,life-assistant-mysql-596766557b-hl5pf,16m,611Mi
2026-09-01T10:34:32+08:00,life-assistant-nacos-5995f55965-l7wq6,4m,559Mi
2026-09-01T10:34:32+08:00,life-assistant-order-service-5696b855c6-lq468,4m,275Mi
2026-09-01T10:34:32+08:00,life-assistant-redis-c4fcbf6c-r8mhj,10m,14Mi
2026-09-01T10:34:32+08:00,life-assistant-settlement-service-6485f7b9bb-wwdxd,6m,265Mi
2026-09-01T10:34:32+08:00,life-assistant-user-service-d9d686b55-p49lg,7m,282Mi
2026-09-01T10:34:50+08:00,life-assistant-api-gateway-68b5c996df-nljj5,3m,224Mi
2026-09-01T10:34:50+08:00,life-assistant-engagement-service-95c6b48f5-rqzdj,4m,284Mi
2026-09-01T10:34:50+08:00,life-assistant-frontend-fc48fc794-wmck7,1m,4Mi
2026-09-01T10:34:50+08:00,life-assistant-fulfillment-service-7d8b56595d-z9slz,26m,284Mi
2026-09-01T10:34:50+08:00,life-assistant-merchant-service-55f5f7c468-4t6l5,7m,287Mi
2026-09-01T10:34:50+08:00,life-assistant-mysql-596766557b-hl5pf,14m,611Mi
2026-09-01T10:34:50+08:00,life-assistant-nacos-5995f55965-l7wq6,5m,559Mi
2026-09-01T10:34:50+08:00,life-assistant-order-service-5696b855c6-lq468,6m,275Mi
2026-09-01T10:34:50+08:00,life-assistant-redis-c4fcbf6c-r8mhj,8m,14Mi
2026-09-01T10:34:50+08:00,life-assistant-settlement-service-6485f7b9bb-wwdxd,5m,266Mi
2026-09-01T10:34:50+08:00,life-assistant-user-service-d9d686b55-p49lg,4m,282Mi
2026-09-01T10:35:08+08:00,life-assistant-api-gateway-68b5c996df-nljj5,6m,224Mi
2026-09-01T10:35:08+08:00,life-assistant-engagement-service-95c6b48f5-rqzdj,7m,284Mi
2026-09-01T10:35:08+08:00,life-assistant-frontend-fc48fc794-wmck7,1m,4Mi
2026-09-01T10:35:08+08:00,life-assistant-fulfillment-service-7d8b56595d-z9slz,4m,278Mi
2026-09-01T10:35:08+08:00,life-assistant-merchant-service-55f5f7c468-4t6l5,5m,287Mi
2026-09-01T10:35:08+08:00,life-assistant-mysql-596766557b-hl5pf,16m,611Mi
2026-09-01T10:35:08+08:00,life-assistant-nacos-5995f55965-l7wq6,4m,559Mi
2026-09-01T10:35:08+08:00,life-assistant-order-service-5696b855c6-lq468,5m,275Mi
2026-09-01T10:35:08+08:00,life-assistant-redis-c4fcbf6c-r8mhj,11m,14Mi
2026-09-01T10:35:08+08:00,life-assistant-settlement-service-6485f7b9bb-wwdxd,5m,266Mi
2026-09-01T10:35:08+08:00,life-assistant-user-service-d9d686b55-p49lg,5m,282Mi
